Project_Accession,Total_Attributes,Alias,dee2_url,has_dee2
PRJNA494693,239,SRP163443,https://dee2.io/huge/athaliana/SRP163443_GSE120840.zip,True
PRJNA369530,239,SRP098693,https://dee2.io/huge/athaliana/SRP098693_GSE94377.zip,True
PRJNA316982,238,SRP072685,,False
PRJEB22967,238,ERP104697,https://dee2.io/huge/athaliana/ERP104697_NA.zip,True
PRJNA762916,237,SRP336880,https://dee2.io/huge/athaliana/SRP336880_GSE184056.zip,True
PRJNA639731,233,SRP267488,,False
PRJNA726555,232,SRP318031,,False
PRJNA438316,232,SRP135688,,False
PRJNA339000,232,SRP082176,,False
PRJNA429185,231,SRP128509,,False
PRJNA860957,231,SRP387808,https://dee2.io/huge/athaliana/SRP387808_GSE208755.zip,True
PRJNA620359,231,SRP254767,https://dee2.io/huge/athaliana/SRP254767_GSE147812.zip,True
PRJNA642871,231,SRP269252,https://dee2.io/huge/athaliana/SRP269252_GSE153510.zip,True
PRJNA913107,231,SRP413428,https://dee2.io/huge/athaliana/SRP413428_GSE221143.zip,True
PRJNA799378,231,SRP356192,https://dee2.io/huge/athaliana/SRP356192_GSE194186.zip,True
PRJEB2457,228,"ERP000565;ERP000565",,False
PRJNA412889,223,SRP119267,https://dee2.io/huge/athaliana/SRP119267_GSE104518.zip,True
PRJNA495850,223,SRP165229,https://dee2.io/huge/athaliana/SRP165229_GSE121150.zip,True
PRJNA867337,223,SRP390531,https://dee2.io/huge/athaliana/SRP390531_GSE210734.zip,True
PRJNA909785,223,SRP411860,https://dee2.io/huge/athaliana/SRP411860_GSE220449.zip,True
PRJNA719729,223,SRP313445,https://dee2.io/huge/athaliana/SRP313445_GSE171459.zip,True
PRJNA806662,223,SRP359646,https://dee2.io/huge/athaliana/SRP359646_GSE196648.zip,True
PRJNA809747,223,SRP361197,https://dee2.io/huge/athaliana/SRP361197_GSE197325.zip,True
PRJEB58839,220,ERP143913,,False
PRJNA369751,218,SRP098793,,False
PRJNA433852,217,SRP132710,https://dee2.io/huge/athaliana/SRP132710_GSE110488.zip,True
PRJNA529202,217,SRP189482,https://dee2.io/huge/athaliana/SRP189482_GSE128877.zip,True
PRJNA1055983,216,SRP479745,https://dee2.io/huge/athaliana/SRP479745_GSE250331.zip,True
PRJNA507972,215,SRP172049,https://dee2.io/huge/athaliana/SRP172049_GSE123258.zip,True
PRJNA884701,215,SRP399863,https://dee2.io/huge/athaliana/SRP399863_GSE214280.zip,True
PRJNA540255,215,SRP194124,https://dee2.io/huge/athaliana/SRP194124_GSE130431.zip,True
PRJNA722928,214,SRP315323,https://dee2.io/huge/athaliana/SRP315323_GSE172314.zip,True
PRJNA525452,213,SRP187477,https://dee2.io/huge/athaliana/SRP187477_GSE127819.zip,True
PRJNA906465,212,SRP410391,https://dee2.io/huge/athaliana/SRP410391_GSE218961.zip,True
PRJNA525432,211,SRP187455,https://dee2.io/huge/athaliana/SRP187455_GSE127805.zip,True
PRJNA890568,211,SRP402633,https://dee2.io/huge/athaliana/SRP402633_GSE215755.zip,True
PRJNA658907,211,SRP278587,https://dee2.io/huge/athaliana/SRP278587_GSE156726.zip,True
PRJNA122227,210,SRP001589,https://dee2.io/huge/athaliana/SRP001589_GSE19694.zip,True
PRJNA493255,207,SRP162679,https://dee2.io/huge/athaliana/SRP162679_GSE120519.zip,True
PRJNA338073,204,SRP081052,,False
PRJNA314484,203,SRP071212,https://dee2.io/huge/athaliana/SRP071212_GSE78946.zip,True
PRJNA542790,203,SRP198341,https://dee2.io/huge/athaliana/SRP198341_GSE131156.zip,True
PRJNA391955,203,SRP110536,,False
PRJNA736615,203,SRP323534,,False
PRJNA875132,203,SRP394932,https://dee2.io/huge/athaliana/SRP394932_GSE212364.zip,True
PRJNA308073,202,SRP068137,,False
PRJNA788534,202,SRP350800,https://dee2.io/huge/athaliana/SRP350800_GSE190831.zip,True
PRJNA318516,202,SRP073326,https://dee2.io/huge/athaliana/SRP073326_GSE80300.zip,True
PRJNA978578,202,SRP440710,,False
PRJNA875917,200,SRP399524,,False
PRJNA780919,200,SRP346400,,False
PRJNA169134,199,SRP013873,https://dee2.io/huge/athaliana/SRP013873_GSE38879.zip,True
PRJNA1013049,199,SRP458621,https://dee2.io/huge/athaliana/SRP458621_GSE242292.zip,True
PRJNA1031962,199,SRP468279,https://dee2.io/huge/athaliana/SRP468279_GSE246173.zip,True
PRJNA317322,197,SRP072879,https://dee2.io/huge/athaliana/SRP072879_GSE79881.zip,True
PRJNA472997,195,SRP148906,https://dee2.io/huge/athaliana/SRP148906_GSE114898.zip,True
PRJNA170665,195,SRP014189,,False
PRJNA388398,193,SRP108255,https://dee2.io/huge/athaliana/SRP108255_GSE99406.zip,True
PRJNA230117,192,SRP033370,,False
PRJNA594413,188,SRP235374,https://dee2.io/huge/athaliana/SRP235374_GSE141703.zip,True
PRJNA472051,187,SRP148438,https://dee2.io/huge/athaliana/SRP148438_GSE114645.zip,True
PRJNA380344,187,SRP102435,,False
PRJNA336549,187,SRP080945,,False
PRJNA315864,187,SRP072125,,False
PRJNA724737,187,SRP316120,https://dee2.io/huge/athaliana/SRP316120_GSE173239.zip,True
PRJNA675765,187,SRP291935,https://dee2.io/huge/athaliana/SRP291935_GSE161152.zip,True
PRJNA903179,187,SRP408638,https://dee2.io/huge/athaliana/SRP408638_GSE218342.zip,True
PRJNA953419,187,SRP431509,https://dee2.io/huge/athaliana/SRP431509_GSE229217.zip,True
PRJNA317722,187,SRP073021,https://dee2.io/huge/athaliana/SRP073021_GSE80056.zip,True
PRJNA941921,187,SRP426021,https://dee2.io/huge/athaliana/SRP426021_GSE226876.zip,True
PRJNA601525,187,SRP242108,https://dee2.io/huge/athaliana/SRP242108_GSE143762.zip,True
PRJNA912137,187,SRP413007,,False
PRJNA638261,187,SRP266555,https://dee2.io/huge/athaliana/SRP266555_GSE152072.zip,True
PRJNA294786,187,SRP063352,,False
PRJNA477336,187,SRP151039,https://dee2.io/huge/athaliana/SRP151039_GSE116123.zip,True
PRJNA384979,187,SRP105773,https://dee2.io/huge/athaliana/SRP105773_GSE98389.zip,True
PRJNA1107978,187,SRP505788,https://dee2.io/huge/athaliana/SRP505788_GSE266624.zip,True
PRJNA525282,187,SRP187356,,False
PRJNA318748,186,SRP073430,,False
PRJNA998749,183,SRP451592,https://dee2.io/huge/athaliana/SRP451592_GSE239281.zip,True
PRJEB47885,182,ERP132204,https://dee2.io/huge/athaliana/ERP132204_NA.zip,True
PRJNA843782,182,SRP377671,,False
PRJNA791363,177,SRP351965,,False
PRJNA839338,176,SRP375869,,False
PRJNA336060,176,SRP080772,https://dee2.io/huge/athaliana/SRP080772_GSE85069.zip,True
PRJNA472080,176,SRP148468,,False
PRJNA632508,176,SRP261411,https://dee2.io/huge/athaliana/SRP261411_GSE150471.zip,True
PRJNA647212,176,SRP272493,,False
PRJNA276444,176,SRP055503,https://dee2.io/huge/athaliana/SRP055503_GSE66290.zip,True
PRJNA232493,176,SRP034702,,False
PRJNA989599,176,SRP446819,https://dee2.io/huge/athaliana/SRP446819_GSE236267.zip,True
PRJNA641352,176,SRP268461,,False
PRJNA982119,175,SRP442316,https://dee2.io/huge/athaliana/SRP442316_GSE234606.zip,True
PRJNA481007,175,SRP153372,https://dee2.io/huge/athaliana/SRP153372_GSE117077.zip,True
PRJNA380922,175,SRP102698,https://dee2.io/huge/athaliana/SRP102698_GSE97186.zip,True
PRJNA238653,175,SRP038129,https://dee2.io/huge/athaliana/SRP038129_GSE55151.zip,True
PRJNA705455,175,SRP308553,https://dee2.io/huge/athaliana/SRP308553_GSE167879.zip,True
PRJNA358157,175,SRP095390,https://dee2.io/huge/athaliana/SRP095390_GSE92611.zip,True
PRJNA648424,175,SRP273472,https://dee2.io/huge/athaliana/SRP273472_GSE155105.zip,True
PRJNA528416,175,SRP189046,https://dee2.io/huge/athaliana/SRP189046_GSE128655.zip,True
PRJNA331045,175,SRP079522,https://dee2.io/huge/athaliana/SRP079522_GSE84753.zip,True
PRJNA607059,175,SRP249704,,False
